Zeile;Time;Concentration;Mean 10s;TimeMean
141;19.08.2019 12:31;9.3264;198.695;19.08.2019 12:56:57
142;19.08.2019 12:31;8.2902;194.275;19.08.2019 12:57:07
143;19.08.2019 12:31;6.2284;189.622;19.08.2019 12:57:17
144;19.08.2019 12:31;9.3426;202.588;19.08.2019 12:57:27
145;19.08.2019 12:31;11.419;205.56;19.08.2019 12:57:37
146;19.08.2019 12:31;11.419;182.906;19.08.2019 12:57:47
147;19.08.2019 12:31;10.381;69.1232;19.08.2019 12:57:57
148;19.08.2019 12:31;7.2664;137.7206;19.08.2019 12:58:07
149;19.08.2019 12:31;14.558;190.279;19.08.2019 12:58:17
150;19.08.2019 12:31;3.1142;192.165;19.08.2019 12:58:27
151;19.08.2019 12:31;7.2664;187.426;19.08.2019 12:58:37
152;19.08.2019 12:31;8.3045;185.716;19.08.2019 12:58:47
153;19.08.2019 12:32;6.2284;154.3433;19.08.2019 12:58:57
154;19.08.2019 12:32;6.2284;19.7646;19.08.2019 12:59:07
155;19.08.2019 12:32;10.381;12.70672;19.08.2019 12:59:17
156;19.08.2019 12:32;18.653;12.72424;19.08.2019 12:59:27
157;19.08.2019 12:32;8.3045;14.48289;19.08.2019 12:59:37
158;19.08.2019 12:32;9.3426;13.13843;19.08.2019 12:59:47
159;19.08.2019 12:32;11.399;14.14795;19.08.2019 12:59:57
160;19.08.2019 12:32;9.3426;14.7784;19.08.2019 13:00:07
161;19.08.2019 12:32;9.3426;11.48892;19.08.2019 13:00:17
162;19.08.2019 12:32;10.381;13.33979;19.08.2019 13:00:27
163;19.08.2019 12:32;3.1142;13.62937;19.08.2019 13:00:37
164;19.08.2019 12:32;10.381;933.06303;19.08.2019 13:00:47
165;19.08.2019 12:32;5.1903;1235.689;19.08.2019 13:00:57
166;19.08.2019 12:32;7.2664;40.8246;19.08.2019 13:01:07
167;19.08.2019 12:32;8.3189;14.35466;19.08.2019 13:01:17
168;19.08.2019 12:32;7.2664;12.4957;19.08.2019 13:01:27
169;19.08.2019 12:32;8.3045;13.42515;19.08.2019 13:01:37
170;19.08.2019 12:32;8.3189;12.92049;19.08.2019 13:01:47
171;19.08.2019 12:32;11.438;13.44832;19.08.2019 13:01:57
172;19.08.2019 12:32;9.3588;11.06895;19.08.2019 13:02:07
173;19.08.2019 12:32;16.609;13.1267;19.08.2019 13:02:17
174;19.08.2019 12:32;5.1903;12.18609;19.08.2019 13:02:27
175;19.08.2019 12:32;7.2664;11.98406;19.08.2019 13:02:37
176;19.08.2019 12:32;9.3426;12.18585;19.08.2019 13:02:47
177;19.08.2019 12:32;7.2664;14.56746;19.08.2019 13:02:57
178;19.08.2019 12:32;12.457;11.79076;19.08.2019 13:03:07
179;19.08.2019 12:32;2.0797;11.26628;19.08.2019 13:03:17
180;19.08.2019 12:32;13.495;880.6846;19.08.2019 13:03:27
181;19.08.2019 12:32;9.3426;1976.81;19.08.2019 13:03:37
182;19.08.2019 12:32;9.3426;2101.64;19.08.2019 13:03:47
183;19.08.2019 12:32;8.3045;2100.5;19.08.2019 13:03:57
184;19.08.2019 12:32;11.419;2169.17;19.08.2019 13:04:07
185;19.08.2019 12:32;15.544;2257.42;19.08.2019 13:04:17
186;19.08.2019 12:32;10.363;2221.18;19.08.2019 13:04:27
187;19.08.2019 12:32;5.1813;2258.53;19.08.2019 13:04:37
188;19.08.2019 12:32;7.2539;2269.26;19.08.2019 13:04:47
189;19.08.2019 12:32;8.2902;2281.51;19.08.2019 13:04:57
190;19.08.2019 12:32;8.2902;2283.29;19.08.2019 13:05:07
191;19.08.2019 12:32;12.457;2250.14;19.08.2019 13:05:17
192;19.08.2019 12:32;12.435;2267;19.08.2019 13:05:27
193;19.08.2019 12:32;5.1903;2296.92;19.08.2019 13:05:37
194;19.08.2019 12:32;12.457;2249.96;19.08.2019 13:05:47
195;19.08.2019 12:32;8.3045;2271.87;19.08.2019 13:05:57
196;19.08.2019 12:32;9.3426;1621.98;19.08.2019 13:06:07
197;19.08.2019 12:32;9.3426;1591.14;19.08.2019 13:06:17
198;19.08.2019 12:32;8.3045;1587.16;19.08.2019 13:06:27
199;19.08.2019 12:32;5.1903;1597.18;19.08.2019 13:06:37
200;19.08.2019 12:32;10.399;1614.92;19.08.2019 13:06:47
201;19.08.2019 12:32;11.419;1642.41;19.08.2019 13:06:57
202;19.08.2019 12:32;15.571;1967.28;19.08.2019 13:07:07
203;19.08.2019 12:32;12.457;2198.73;19.08.2019 13:07:17
204;19.08.2019 12:32;8.3045;1200.803;19.08.2019 13:07:27
205;19.08.2019 12:32;5.1903;185.8989;19.08.2019 13:07:37
206;19.08.2019 12:32;10.363;58.2475;19.08.2019 13:07:47
207;19.08.2019 12:32;14.508;56.3157;19.08.2019 13:07:57
208;19.08.2019 12:32;8.2902;44.5604;19.08.2019 13:08:07
209;19.08.2019 12:32;9.3264;31.2954;19.08.2019 13:08:17
210;19.08.2019 12:32;8.2902;20.5395;19.08.2019 13:08:27
211;19.08.2019 12:32;6.2176;14.56389;19.08.2019 13:08:37
212;19.08.2019 12:32;11.419;11.66734;19.08.2019 13:08:47
213;19.08.2019 12:33;4.1522;11.45283;19.08.2019 13:08:57
214;19.08.2019 12:33;8.3045;8.87853;19.08.2019 13:09:07
215;19.08.2019 12:33;9.3426;8.25416;19.08.2019 13:09:17
216;19.08.2019 12:33;10.363;7.62974;19.08.2019 13:09:27
217;19.08.2019 12:33;7.2539;7.33962;19.08.2019 13:09:37
218;19.08.2019 12:33;9.3264;8.37118;19.08.2019 13:09:47
219;19.08.2019 12:33;11.399;8.55806;19.08.2019 13:09:57
220;19.08.2019 12:33;12.435;6.08301;19.08.2019 13:10:07
221;19.08.2019 12:33;11.399;7.52764;19.08.2019 13:10:17
222;19.08.2019 12:33;7.2539;6.28814;19.08.2019 13:10:27
223;19.08.2019 12:33;10.381;8.14305;19.08.2019 13:10:37
224;19.08.2019 12:33;8.3045;7.83503;19.08.2019 13:10:47
225;19.08.2019 12:33;11.419;7.73266;19.08.2019 13:10:57
226;19.08.2019 12:33;6.2284;8.25717;19.08.2019 13:11:07
227;19.08.2019 12:33;6.2284;7.12684;19.08.2019 13:11:17
228;19.08.2019 12:33;10.381;6.19372;19.08.2019 13:11:27
229;19.08.2019 12:33;15.571;6.38699;19.08.2019 13:11:37
230;19.08.2019 12:33;14.533;7.83785;19.08.2019 13:11:47
231;19.08.2019 12:33;15.571;5.67436;19.08.2019 13:11:57
232;19.08.2019 12:33;7.2664;361.75623;19.08.2019 13:12:07
233;19.08.2019 12:33;10.381;1423.42;19.08.2019 13:12:17
234;19.08.2019 12:33;9.3426;1444.4;19.08.2019 13:12:27
235;19.08.2019 12:33;11.419;1448.67;19.08.2019 13:12:37
236;19.08.2019 12:33;7.2664;1440.59;19.08.2019 13:12:47
237;19.08.2019 12:33;14.508;1447.49;19.08.2019 13:12:57
238;19.08.2019 12:33;12.435;854.1784;19.08.2019 13:13:07
239;19.08.2019 12:33;7.2539;21.87294;19.08.2019 13:13:17
240;19.08.2019 12:33;8.3045;8.46047;19.08.2019 13:13:27
241;19.08.2019 12:33;12.435;8.2513;19.08.2019 13:13:37
242;19.08.2019 12:33;4.1451;7.63472;19.08.2019 13:13:47
243;19.08.2019 12:33;8.2902;5.98611;19.08.2019 13:13:57
244;19.08.2019 12:33;13.472;6.60924;19.08.2019 13:14:07
245;19.08.2019 12:33;14.508;6.50601;19.08.2019 13:14:17
246;19.08.2019 12:33;11.399;6.61305;19.08.2019 13:14:27
247;19.08.2019 12:33;8.2902;8.16329;19.08.2019 13:14:37
248;19.08.2019 12:33;8.2902;6.40026;19.08.2019 13:14:47
249;19.08.2019 12:33;5.1903;6.51209;19.08.2019 13:14:57
250;19.08.2019 12:33;3.1088;6.30999;19.08.2019 13:15:07
251;19.08.2019 12:33;12.457;8.57833;19.08.2019 13:15:17
252;19.08.2019 12:33;7.2664;6.91915;19.08.2019 13:15:27
253;19.08.2019 12:33;6.2176;7.02375;19.08.2019 13:15:37
254;19.08.2019 12:33;11.399;7.64773;19.08.2019 13:15:47
255;19.08.2019 12:33;8.3045;8.45519;19.08.2019 13:15:57
256;19.08.2019 12:33;4.1522;6.08336;19.08.2019 13:16:07
257;19.08.2019 12:33;7.2664;7.02541;19.08.2019 13:16:17
258;19.08.2019 12:33;10.381;5.16582;19.08.2019 13:16:27
259;19.08.2019 12:33;9.3426;7.13171;19.08.2019 13:16:37
260;19.08.2019 12:33;10.381;5.67737;19.08.2019 13:16:47
261;19.08.2019 12:33;8.3045;6.50601;19.08.2019 13:16:57
262;19.08.2019 12:33;9.3264;8.36614;19.08.2019 13:17:07
263;19.08.2019 12:33;9.3264;6.10044;19.08.2019 13:17:17
264;19.08.2019 12:33;13.472;6.50607;19.08.2019 13:17:27
265;19.08.2019 12:33;7.2539;8.05156;19.08.2019 13:17:37
266;19.08.2019 12:33;6.2176;7.32635;19.08.2019 13:17:47
267;19.08.2019 12:33;13.495;6.19616;19.08.2019 13:17:57
268;19.08.2019 12:33;9.3426;7.43438;19.08.2019 13:18:07
269;19.08.2019 12:33;11.419;5.57516;19.08.2019 13:18:17
270;19.08.2019 12:33;8.3045;5.67985;19.08.2019 13:18:27
271;19.08.2019 12:33;5.1903;5.78419;19.08.2019 13:18:37
272;19.08.2019 12:33;8.3045;6.30235;19.08.2019 13:18:47
273;19.08.2019 12:34;10.381;7.22123;19.08.2019 13:18:57
274;19.08.2019 12:34;5.1903;51.8188;19.08.2019 13:19:07
275;19.08.2019 12:34;6.2284;131.1355;19.08.2019 13:19:17
276;19.08.2019 12:34;10.363;305.726;19.08.2019 13:19:27
277;19.08.2019 12:34;7.2539;309.328;19.08.2019 13:19:37
278;19.08.2019 12:34;10.363;323.849;19.08.2019 13:19:47
279;19.08.2019 12:34;13.472;333.206;19.08.2019 13:19:57
280;19.08.2019 12:34;5.1813;334.493;19.08.2019 13:20:07
281;19.08.2019 12:34;9.3264;337.989;19.08.2019 13:20:17
282;19.08.2019 12:34;15.544;331.191;19.08.2019 13:20:27
283;19.08.2019 12:34;9.3264;332.841;19.08.2019 13:20:37
284;19.08.2019 12:34;6.2176;337.084;19.08.2019 13:20:47
285;19.08.2019 12:34;14.533;345.979;19.08.2019 13:20:57
286;19.08.2019 12:34;12.457;332.245;19.08.2019 13:21:07
287;19.08.2019 12:34;8.3045;345.333;19.08.2019 13:21:17
288;19.08.2019 12:34;10.381;348.947;19.08.2019 13:21:27
289;19.08.2019 12:34;7.2664;348.786;19.08.2019 13:21:37
290;19.08.2019 12:34;5.1903;340.378;19.08.2019 13:21:47
291;19.08.2019 12:34;7.2664;352.383;19.08.2019 13:21:57
292;19.08.2019 12:34;8.2902;359.013;19.08.2019 13:22:07
293;19.08.2019 12:34;14.533;355.505;19.08.2019 13:22:17
294;19.08.2019 12:34;6.2176;361.793;19.08.2019 13:22:27
295;19.08.2019 12:34;15.544;362.292;19.08.2019 13:22:37
296;19.08.2019 12:34;7.2664;354.394;19.08.2019 13:22:47
297;19.08.2019 12:34;6.2284;348.887;19.08.2019 13:22:57
298;19.08.2019 12:34;9.3426;351.443;19.08.2019 13:23:07
299;19.08.2019 12:34;8.3045;361.386;19.08.2019 13:23:17
300;19.08.2019 12:34;9.3264;369.007;19.08.2019 13:23:27
301;19.08.2019 12:34;9.3264;368.097;19.08.2019 13:23:37
302;19.08.2019 12:34;12.435;363.131;19.08.2019 13:23:47
303;19.08.2019 12:34;5.1813;368.144;19.08.2019 13:23:57
304;19.08.2019 12:34;9.3264;377.113;19.08.2019 13:24:07
305;19.08.2019 12:34;8.2902;367.992;19.08.2019 13:24:17
306;19.08.2019 12:34;7.2539;373.384;19.08.2019 13:24:27
307;19.08.2019 12:34;12.435;376.975;19.08.2019 13:24:37
308;19.08.2019 12:34;13.472;378.453;19.08.2019 13:24:47
309;19.08.2019 12:34;9.3264;375.123;19.08.2019 13:24:57
310;19.08.2019 12:34;4.1522;380.441;19.08.2019 13:25:07
311;19.08.2019 12:34;12.457;375.996;19.08.2019 13:25:17
312;19.08.2019 12:34;8.2902;382.809;19.08.2019 13:25:27
313;19.08.2019 12:34;9.3426;389.909;19.08.2019 13:25:37
314;19.08.2019 12:34;11.399;390.169;19.08.2019 13:25:47
315;19.08.2019 12:34;9.3264;389.176;19.08.2019 13:25:57
316;19.08.2019 12:34;11.399;379.906;19.08.2019 13:26:07
317;19.08.2019 12:34;7.2539;373.026;19.08.2019 13:26:17
318;19.08.2019 12:34;14.508;389.717;19.08.2019 13:26:27
319;19.08.2019 12:34;5.1813;401.308;19.08.2019 13:26:37
320;19.08.2019 12:34;5.1813;403.853;19.08.2019 13:26:47
321;19.08.2019 12:34;10.363;388.24;19.08.2019 13:26:57
322;19.08.2019 12:34;16.609;395.068;19.08.2019 13:27:07
323;19.08.2019 12:34;12.435;399.804;19.08.2019 13:27:17
