DistrTotCts,timestart
124.995,19.09.2019 02:07:06
264.397,19.09.2019 02:10:05
965.742,19.09.2019 02:13:04
146.454,19.09.2019 02:16:03
182.042,19.09.2019 02:19:02
68.3194,19.09.2019 02:22:01
73.768,19.09.2019 02:25:00
88.7953,19.09.2019 02:27:59
461.966,19.09.2019 02:30:58
430.151,19.09.2019 02:33:57
367.853,19.09.2019 02:36:56
1175.08,19.09.2019 02:39:55
1191.06,19.09.2019 02:42:54
451.059,19.09.2019 02:45:53
886.009,19.09.2019 02:48:52
401.816,19.09.2019 02:51:51
175.335,19.09.2019 02:54:50
369.87,19.09.2019 02:57:49
556.635,19.09.2019 03:00:48
241.129,19.09.2019 03:03:47
518.424,19.09.2019 03:06:46
758.444,19.09.2019 03:09:45
342.359,19.09.2019 03:12:44
901.119,19.09.2019 03:15:43
2216.08,19.09.2019 03:18:42
397.897,19.09.2019 03:21:41
1174.59,19.09.2019 03:24:40
296.898,19.09.2019 03:27:39
53.043,19.09.2019 03:30:38
29.1711,19.09.2019 03:33:37
42.0444,19.09.2019 03:36:36
45.9549,19.09.2019 03:39:35
36.095,19.09.2019 03:42:34
34.2837,19.09.2019 03:45:33
52.5737,19.09.2019 03:48:32
31.0428,19.09.2019 03:51:31
32.4055,19.09.2019 03:54:30
42.5012,19.09.2019 03:57:29
55.102,19.09.2019 04:00:28
47.6123,19.09.2019 04:03:27
287.831,19.09.2019 04:06:26
701.389,19.09.2019 04:09:25
557.98,19.09.2019 04:12:24
1187.19,19.09.2019 04:15:23
185.016,19.09.2019 04:18:22
190.94,19.09.2019 04:21:21
60.0713,19.09.2019 04:24:20
202.265,19.09.2019 04:27:19
92.2228,19.09.2019 04:30:18
122.564,19.09.2019 04:33:17
71.1839,19.09.2019 04:36:16
42.9363,19.09.2019 04:39:15
54.8178,19.09.2019 04:42:14
51.0599,19.09.2019 04:45:13
67.2214,19.09.2019 04:48:12
36.8676,19.09.2019 04:51:08
73.2961,19.09.2019 04:54:07
54.3689,19.09.2019 04:57:06
94.6417,19.09.2019 05:00:05
71.1853,19.09.2019 05:03:04
62.0164,19.09.2019 05:06:03
48.8873,19.09.2019 05:09:02
100.072,19.09.2019 05:12:01
126.81,19.09.2019 05:15:00
212.004,19.09.2019 05:17:59
794.01,19.09.2019 05:20:58
2741.78,19.09.2019 05:23:57
1342.15,19.09.2019 05:26:56
139.78,19.09.2019 05:29:55
3724.23,19.09.2019 05:32:54
200.837,19.09.2019 05:35:53
104.36,19.09.2019 05:38:52
95.3527,19.09.2019 05:41:51
118.388,19.09.2019 05:44:50
82.6936,19.09.2019 05:47:49
475.617,19.09.2019 05:50:51
332.13,19.09.2019 05:53:50
1267.75,19.09.2019 05:56:49
4358.5,19.09.2019 05:59:48
814.172,19.09.2019 06:02:47
607.409,19.09.2019 06:05:46
434.189,19.09.2019 06:08:45
571.402,19.09.2019 06:11:44
712.525,19.09.2019 06:14:43
316.338,19.09.2019 06:17:42
231.598,19.09.2019 06:20:41
208.057,19.09.2019 06:23:40
121.349,19.09.2019 06:26:39
127.747,19.09.2019 06:29:38
144.743,19.09.2019 06:32:37
108.785,19.09.2019 06:35:36
261.855,19.09.2019 06:38:35
380.042,19.09.2019 06:41:34
205.015,19.09.2019 06:44:33
414.919,19.09.2019 06:47:32
3020.19,19.09.2019 06:50:31
1462.96,19.09.2019 06:53:30
1559.8,19.09.2019 06:56:29
746.73,19.09.2019 06:59:28
516.575,19.09.2019 07:02:27
349.134,19.09.2019 07:05:26
938.781,19.09.2019 07:08:25
2359.69,19.09.2019 07:11:24
818.265,19.09.2019 07:14:23
190.056,19.09.2019 07:17:22
177.807,19.09.2019 07:20:21
84.3276,19.09.2019 07:23:20
174.923,19.09.2019 07:26:19
234.306,19.09.2019 07:29:18
224.882,19.09.2019 07:32:17
116.508,19.09.2019 07:35:16
1665.98,19.09.2019 07:38:15
307.436,19.09.2019 07:41:14
382.653,19.09.2019 07:44:13
349.548,19.09.2019 07:47:12
531.565,19.09.2019 07:50:11
786.285,19.09.2019 07:53:10
697.26,19.09.2019 07:56:09
